195.50.151.43 	6515 	anonymous 	18.01.12 19:34 	1/5 	271,05 KB/s 	Germany 	check
210.182.240.28 	80 	anonymous 	18.01.12 19:38 	1/5 	30,69 KB/s 	Korea, Republic Of 	check
210.32.137.34 	9797 	anonymous 	18.01.12 19:38 	5/5 	37,30 KB/s 	China 	check
212.227.80.129 	6515 	anonymous 	18.01.12 19:39 	5/5 	532,99 KB/s 	United Kingdom 	check
216.115.145.49 	6515 	anonymous 	18.01.12 19:40 	4/5 	42,95 KB/s 	United States 	check
221.203.79.101 	80 	anonymous 	18.01.12 19:45 	4/5 	32,28 KB/s 	China 	check
221.203.79.101 	443 	anonymous 	18.01.12 19:44 	4/5 	29,33 KB/s 	China 	check
24.121.164.39 	6515 	anonymous 	18.01.12 19:47 	4/5 	42,36 KB/s 	Unknown 	check
24.147.20.139 	6515 	anonymous 	18.01.12 19:49 	5/5 	77,66 KB/s 	United States 	check
24.171.78.211 	6515 	anonymous 	18.01.12 19:50 	5/5 	66,58 KB/s 	United States 	check
24.34.23.8 	6515 	anonymous 	18.01.12 19:53 	1/5 	67,22 KB/s 	United States 	check
24.34.72.82 	6515 	anonymous 	18.01.12 19:54 	5/5 	65,84 KB/s 	United States 	check
24.74.203.94 	36081 	anonymous 	18.01.12 18:38 	5/5 	47,08 KB/s 	United States 	check
24.99.23.79 	6515 	anonymous 	18.01.12 19:56 	3/5 	55,89 KB/s 	United States 	check
46.245.228.180 	80 	anonymous 	18.01.12 19:58 	5/5 	240,25 KB/s 	Unknown 	check
58.215.172.203 	80 	anonymous 	18.01.12 19:58 	5/5 	23,46 KB/s 	China 	check
64.121.184.93 	6515 	anonymous 	18.01.12 20:02 	5/5 	72,76 KB/s 	United States 	check
64.183.250.184 	80 	anonymous 	18.01.12 20:03 	1/5 	75,00 KB/s 	Unknown 	check
66.140.59.4 	8085 	anonymous 	18.01.12 20:06 	2/5 	43,37 KB/s 	United States 	check
